lettr,X-box,Y-box,width,high,onpix,X-bar,Y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,X-ege,xegvy,Y-ege,yegvx
B,3.75,6.75,3.75,5.25,2.25,5.25,6.75,8.25,6.75,6.75,5.25,6.75,2.25,8.25,8.25,9.75
Y,2.25,2.25,3.75,3.75,2.25,5.25,9.75,0.75,6.75,6.75,11.25,8.25,0.75,11.25,0.75,8.25
O,2.25,3.75,3.75,2.25,2.25,6.75,6.75,6.75,5.25,6.75,5.25,8.25,2.25,8.25,2.25,8.25
Z,5.25,9.75,8.25,6.75,5.25,8.25,5.25,2.25,9.75,11.25,3.75,8.25,0.75,6.75,5.25,8.25
L,2.25,2.25,2.25,2.25,0.75,5.25,3.75,0.75,8.25,6.75,2.25,9.75,0.75,6.75,2.25,8.25
J,0.75,2.25,2.25,2.25,0.75,9.75,5.25,2.25,5.25,11.25,3.75,8.25,0.75,6.75,0.75,6.75
Z,0.75,2.25,2.25,2.25,0.75,6.75,8.25,0.75,8.25,11.25,6.75,6.75,0.75,8.25,5.25,6.75
A,2.25,5.25,5.25,6.75,2.25,6.75,6.75,2.25,0.75,5.25,0.75,8.25,2.25,6.75,0.75,8.25
L,2.25,5.25,3.75,5.25,2.25,8.25,6.75,3.75,5.25,6.75,5.25,8.25,2.25,8.25,6.75,9.75
J,2.25,5.25,2.25,2.25,0.75,9.75,6.75,0.75,6.75,11.25,2.25,6.75,0.75,6.75,0.75,6.75
Q,5.25,5.25,5.25,8.25,5.25,8.25,6.75,5.25,2.25,6.75,6.75,11.25,2.25,8.25,5.25,8.25
N,0.75,2.25,2.25,0.75,0.75,6.75,8.25,5.25,2.25,6.75,6.75,6.75,3.75,8.25,0.75,5.25
Z,2.25,5.25,2.25,3.75,0.75,6.75,6.75,2.25,12.75,8.25,5.25,8.25,0.75,8.25,8.25,8.25
E,3.75,8.25,5.25,6.75,2.25,2.25,6.75,5.25,11.25,6.75,5.25,14.25,0.75,8.25,6.75,6.75
J,3.75,6.75,2.25,9.75,2.25,8.25,6.75,2.25,2.25,11.25,3.75,5.25,2.25,8.25,5.25,8.25
D,3.75,8.25,5.25,5.25,2.25,5.25,6.75,9.75,9.75,5.25,5.25,5.25,2.25,8.25,3.75,8.25
O,5.25,9.75,5.25,8.25,5.25,6.75,8.25,8.25,5.25,8.25,8.25,5.25,3.75,8.25,5.25,9.75
L,2.25,5.25,3.75,3.75,2.25,5.25,3.75,2.25,8.25,2.25,2.25,5.25,0.75,5.25,2.25,5.25
V,3.75,5.25,5.25,3.75,2.25,3.75,11.25,3.75,3.75,11.25,11.25,5.25,2.25,9.75,0.75,8.25
X,5.25,9.75,8.25,8.25,5.25,6.75,6.75,0.75,8.25,8.25,5.25,8.25,2.25,8.25,3.75,6.75
J,5.25,8.25,5.25,5.25,2.25,5.25,5.25,3.75,5.25,14.25,8.25,11.25,0.75,5.25,0.75,6.75
N,6.75,9.75,9.75,8.25,5.25,6.75,8.25,2.25,5.25,9.75,5.25,6.75,6.75,8.25,0.75,8.25
H,2.25,5.25,5.25,6.75,3.75,9.75,11.25,2.25,2.25,6.75,8.25,8.25,2.25,9.75,6.75,8.25
A,2.25,6.75,3.75,5.25,2.25,12.75,2.25,2.25,2.25,9.75,0.75,8.25,2.25,5.25,2.25,8.25
P,3.75,5.25,5.25,8.25,8.25,8.25,6.75,5.25,0.75,6.75,5.25,6.75,5.25,9.75,5.25,8.25
A,3.75,8.25,5.25,5.25,2.25,9.75,5.25,2.25,0.75,8.25,0.75,8.25,2.25,6.75,2.25,8.25
F,3.75,8.25,5.25,5.25,2.25,5.25,9.75,3.75,5.25,11.25,9.75,5.25,2.25,9.75,2.25,5.25
X,2.25,3.75,5.25,2.25,2.25,6.75,6.75,0.75,8.25,9.75,5.25,8.25,2.25,8.25,2.25,6.75
D,5.25,11.25,5.25,8.25,3.75,5.25,8.25,11.25,8.25,8.25,6.75,5.25,2.25,8.25,3.75,8.25
V,2.25,6.75,5.25,5.25,2.25,8.25,11.25,2.25,2.25,3.75,9.75,8.25,2.25,11.25,0.75,8.25
P,6.75,9.75,5.25,5.25,3.75,9.75,6.75,3.75,3.75,11.25,3.75,5.25,3.75,11.25,5.25,8.25
F,5.25,8.25,5.25,6.75,5.25,5.25,8.25,3.75,5.25,8.25,8.25,5.25,5.25,8.25,2.25,5.25
P,5.25,11.25,8.25,8.25,5.25,8.25,9.75,6.75,5.25,9.75,3.75,2.25,2.25,9.75,3.75,8.25
Y,3.75,9.75,5.25,8.25,2.25,8.25,11.25,0.75,3.75,5.25,11.25,8.25,0.75,9.75,0.75,8.25
W,2.25,2.25,3.75,3.75,2.25,5.25,8.25,3.75,0.75,6.75,8.25,8.25,6.75,9.75,0.75,8.25
P,5.25,8.25,8.25,6.75,5.25,5.25,11.25,6.75,2.25,11.25,5.25,2.25,2.25,9.75,3.75,8.25
J,5.25,5.25,6.75,6.75,5.25,6.75,8.25,3.75,5.25,6.75,6.75,8.25,3.75,5.25,8.25,5.25
E,3.75,2.25,3.75,3.75,2.25,8.25,6.75,5.25,9.75,5.25,5.25,8.25,2.25,8.25,5.25,8.25
S,3.75,8.25,5.25,5.25,2.25,6.75,5.25,5.25,8.25,5.25,5.25,9.75,0.75,8.25,8.25,8.25
E,2.25,6.75,2.25,5.25,2.25,2.25,8.25,5.25,11.25,6.75,5.25,14.25,0.75,8.25,6.75,8.25
B,5.25,8.25,6.75,6.75,5.25,6.75,8.25,5.25,5.25,9.75,5.25,5.25,2.25,8.25,6.75,8.25
I,0.75,8.25,0.75,6.75,0.75,6.75,6.75,0.75,8.25,6.75,5.25,8.25,0.75,8.25,2.25,8.25
S,5.25,8.25,6.75,5.25,3.75,8.25,5.25,3.75,5.25,9.75,2.25,8.25,2.25,8.25,5.25,9.75
S,2.25,8.25,3.75,5.25,2.25,8.25,5.25,8.25,5.25,6.75,8.25,8.25,2.25,9.75,8.25,8.25
C,2.25,6.75,3.75,5.25,2.25,5.25,8.25,5.25,6.75,5.25,8.25,12.75,0.75,8.25,3.75,9.75
M,8.25,9.75,11.25,8.25,8.25,8.25,5.25,2.25,5.25,8.25,3.75,6.75,11.25,8.25,2.25,8.25
P,8.25,9.75,6.75,5.25,2.25,5.25,11.25,5.25,2.25,11.25,5.25,5.25,3.75,9.75,3.75,8.25
R,2.25,3.75,3.75,2.25,2.25,6.75,8.25,3.75,3.75,8.25,5.25,8.25,2.25,5.25,2.25,9.75
U,2.25,8.25,5.25,5.25,5.25,8.25,6.75,3.75,3.75,5.25,6.75,8.25,6.75,8.25,5.25,5.25
U,5.25,5.25,5.25,3.75,2.25,3.75,8.25,5.25,8.25,11.25,11.25,8.25,2.25,8.25,2.25,5.25
D,2.25,8.25,3.75,5.25,2.25,5.25,6.75,9.75,8.25,6.75,6.75,5.25,2.25,8.25,3.75,8.25
U,2.25,0.75,2.25,0.75,0.75,6.75,5.25,11.25,5.25,6.75,14.25,8.25,2.25,9.75,0.75,8.25
J,2.25,5.25,2.25,3.75,2.25,9.75,6.75,2.25,5.25,11.25,2.25,6.75,0.75,5.25,2.25,6.75
Z,6.75,12.75,6.75,6.75,5.25,5.25,6.75,2.25,8.25,11.25,5.25,8.25,3.75,5.25,8.25,5.25
F,5.25,11.25,6.75,8.25,5.25,6.75,8.25,2.25,5.25,11.25,6.75,5.25,2.25,8.25,2.25,6.75
V,0.75,0.75,2.25,0.75,0.75,8.25,8.25,3.75,2.25,6.75,11.25,8.25,2.25,9.75,0.75,8.25
M,5.25,5.25,8.25,3.75,6.75,5.25,8.25,5.25,2.25,5.25,3.75,8.25,12.75,8.25,5.25,6.75
U,2.25,5.25,3.75,3.75,0.75,6.75,5.25,12.75,5.25,6.75,12.75,8.25,2.25,8.25,0.75,8.25
B,2.25,6.75,3.75,5.25,5.25,6.75,6.75,3.75,5.25,5.25,5.25,5.25,2.25,8.25,5.25,9.75
L,3.75,8.25,5.25,5.25,3.75,5.25,5.25,0.75,8.25,6.75,2.25,9.75,0.75,5.25,2.25,8.25
T,3.75,9.75,5.25,8.25,2.25,8.25,12.75,0.75,5.25,6.75,9.75,8.25,0.75,8.25,0.75,8.25
D,8.25,11.25,8.25,5.25,3.75,8.25,3.75,3.75,5.25,11.25,2.25,8.25,5.25,5.25,5.25,9.75
T,5.25,11.25,5.25,8.25,3.75,5.25,9.75,0.75,9.75,11.25,8.25,5.25,2.25,8.25,3.75,3.75
O,5.25,8.25,6.75,5.25,3.75,6.75,5.25,8.25,3.75,5.25,3.75,6.75,2.25,8.25,3.75,8.25
T,0.75,0.75,2.25,0.75,0.75,6.75,14.25,0.75,3.75,6.75,9.75,8.25,0.75,8.25,0.75,8.25
U,3.75,2.25,5.25,2.25,2.25,5.25,8.25,5.25,6.75,9.75,9.75,8.25,2.25,8.25,2.25,5.25
D,2.25,3.75,3.75,2.25,2.25,8.25,5.25,3.75,5.25,11.25,3.75,5.25,2.25,8.25,2.25,8.25
R,3.75,8.25,5.25,5.25,2.25,5.25,11.25,8.25,2.25,6.75,3.75,8.25,2.25,6.75,5.25,11.25
G,6.75,9.75,6.75,6.75,5.25,5.25,6.75,6.75,5.25,8.25,8.25,9.75,2.25,8.25,5.25,8.25
D,2.25,0.75,2.25,2.25,0.75,5.25,6.75,8.25,6.75,5.25,5.25,5.25,2.25,8.25,2.25,8.25
S,2.25,8.25,3.75,5.25,3.75,6.75,6.75,6.75,5.25,6.75,5.25,8.25,2.25,8.25,8.25,8.25
S,6.75,9.75,8.25,8.25,9.75,8.25,5.25,5.25,3.75,8.25,5.25,8.25,5.25,8.25,11.25,11.25
M,5.25,9.75,8.25,8.25,8.25,6.75,6.75,2.25,3.75,8.25,6.75,8.25,8.25,5.25,2.25,8.25
M,3.75,8.25,5.25,5.25,8.25,8.25,5.25,2.25,2.25,8.25,3.75,8.25,6.75,6.75,2.25,5.25
D,5.25,6.75,8.25,5.25,5.25,5.25,6.75,5.25,6.75,6.75,3.75,6.75,2.25,5.25,5.25,5.25
Z,3.75,8.25,5.25,6.75,3.75,8.25,5.25,2.25,8.25,11.25,5.25,8.25,2.25,5.25,8.25,8.25
W,3.75,8.25,6.75,6.75,5.25,8.25,8.25,3.75,0.75,5.25,8.25,8.25,6.75,11.25,0.75,8.25
C,2.25,0.75,2.25,2.25,0.75,5.25,8.25,5.25,6.75,6.75,8.25,11.25,0.75,8.25,3.75,9.75
K,2.25,5.25,3.75,3.75,3.75,5.25,6.75,2.25,6.75,5.25,5.25,8.25,2.25,8.25,5.25,9.75
J,5.25,8.25,8.25,6.75,5.25,8.25,5.25,6.75,6.75,8.25,5.25,6.75,2.25,5.25,3.75,5.25
A,5.25,8.25,8.25,8.25,8.25,8.25,6.75,2.25,5.25,6.75,8.25,8.25,5.25,8.25,3.75,5.25
D,5.25,11.25,5.25,5.25,3.75,8.25,6.75,2.25,5.25,9.75,5.25,6.75,5.25,8.25,6.75,5.25
C,3.75,8.25,5.25,5.25,3.75,8.25,8.25,8.25,5.25,6.75,5.25,8.25,3.75,6.75,3.75,8.25
V,2.25,3.75,3.75,2.25,0.75,3.75,11.25,2.25,2.25,9.75,11.25,6.75,2.25,11.25,0.75,8.25
S,3.75,6.75,3.75,5.25,2.25,8.25,9.75,5.25,8.25,5.25,5.25,5.25,0.75,6.75,8.25,8.25
F,3.75,8.25,5.25,5.25,3.75,8.25,8.25,0.75,5.25,12.75,5.25,5.25,0.75,9.75,2.25,8.25
A,5.25,9.75,6.75,8.25,5.25,8.25,2.25,2.25,0.75,6.75,0.75,8.25,5.25,8.25,5.25,8.25
B,2.25,2.25,3.75,2.25,2.25,8.25,6.75,5.25,5.25,6.75,5.25,5.25,2.25,8.25,5.25,8.25
N,2.25,2.25,2.25,2.25,2.25,6.75,8.25,5.25,3.75,6.75,5.25,6.75,5.25,8.25,2.25,6.75
U,5.25,9.75,5.25,5.25,2.25,5.25,5.25,3.75,3.75,5.25,6.75,8.25,5.25,5.25,2.25,8.25
S,3.75,9.75,5.25,8.25,5.25,6.75,6.75,5.25,8.25,5.25,5.25,8.25,0.75,8.25,8.25,8.25
Q,2.25,5.25,2.25,5.25,2.25,8.25,8.25,6.75,2.25,5.25,6.75,9.75,2.25,8.25,5.25,8.25
F,3.75,8.25,3.75,5.25,0.75,0.75,12.75,5.25,5.25,11.25,11.25,6.75,0.75,8.25,2.25,5.25
F,3.75,8.25,5.25,5.25,5.25,5.25,9.75,3.75,5.25,9.75,9.75,5.25,2.25,9.75,2.25,5.25
X,5.25,9.75,8.25,8.25,3.75,8.25,6.75,3.75,9.75,5.25,5.25,8.25,3.75,5.25,8.25,8.25
A,2.25,6.75,5.25,5.25,2.25,11.25,2.25,2.25,2.25,8.25,2.25,8.25,2.25,3.75,2.25,8.25
B,3.75,8.25,3.75,5.25,2.25,5.25,6.75,8.25,6.75,6.75,5.25,6.75,2.25,8.25,8.25,9.75
O,5.25,8.25,5.25,6.75,5.25,6.75,6.75,8.25,6.75,6.75,5.25,6.75,2.25,8.25,2.25,8.25
J,2.25,5.25,2.25,3.75,0.75,14.25,0.75,5.25,5.25,14.25,2.25,11.25,0.75,6.75,0.75,8.25
H,3.75,8.25,5.25,5.25,2.25,6.75,5.25,14.25,0.75,6.75,8.25,8.25,2.25,8.25,0.75,8.25
M,5.25,8.25,6.75,3.75,2.25,5.25,8.25,5.25,5.25,3.75,3.75,9.75,8.25,6.75,2.25,8.25
I,2.25,6.75,3.75,5.25,2.25,6.75,6.75,0.75,6.75,12.75,5.25,8.25,0.75,8.25,0.75,6.75
W,5.25,9.75,5.25,8.25,5.25,2.25,9.75,2.25,2.25,9.75,8.25,8.25,6.75,11.25,2.25,5.25
N,2.25,5.25,3.75,3.75,2.25,5.25,6.75,8.25,5.25,6.75,5.25,6.75,2.25,6.75,2.25,8.25
A,0.75,2.25,2.25,2.25,0.75,9.75,2.25,2.25,0.75,8.25,2.25,8.25,0.75,5.25,0.75,8.25
S,2.25,2.25,3.75,0.75,0.75,6.75,8.25,2.25,5.25,9.75,5.25,6.75,0.75,8.25,3.75,8.25
P,0.75,0.75,0.75,0.75,0.75,5.25,9.75,5.25,0.75,8.25,5.25,5.25,0.75,8.25,2.25,8.25
D,5.25,8.25,8.25,8.25,8.25,6.75,5.25,5.25,6.75,6.75,5.25,8.25,5.25,5.25,8.25,3.75
M,6.75,8.25,9.75,6.75,5.25,5.25,5.25,3.75,5.25,11.25,9.75,11.25,11.25,5.25,3.75,8.25
T,3.75,8.25,5.25,5.25,5.25,8.25,11.25,2.25,5.25,5.25,11.25,8.25,2.25,11.25,0.75,6.75
L,2.25,5.25,3.75,3.75,2.25,5.25,5.25,0.75,8.25,5.25,2.25,11.25,0.75,8.25,2.25,6.75
X,2.25,5.25,3.75,3.75,0.75,6.75,6.75,3.75,3.75,6.75,5.25,8.25,2.25,8.25,3.75,8.25
G,2.25,3.75,2.25,5.25,2.25,6.75,6.75,8.25,5.25,5.25,6.75,8.25,2.25,6.75,5.25,11.25
D,5.25,9.75,8.25,8.25,5.25,9.75,5.25,3.75,8.25,11.25,2.25,6.75,3.75,5.25,3.75,8.25
E,2.25,3.75,3.75,5.25,2.25,2.25,8.25,5.25,9.75,6.75,5.25,14.25,0.75,8.25,6.75,6.75
N,2.25,2.25,2.25,0.75,0.75,5.25,8.25,5.25,2.25,8.25,6.75,8.25,3.75,8.25,0.75,6.75
G,2.25,3.75,2.25,2.25,2.25,5.25,5.25,5.25,5.25,5.25,5.25,8.25,2.25,8.25,3.75,8.25
V,6.75,9.75,5.25,8.25,2.25,2.25,11.25,5.25,5.25,11.25,11.25,8.25,2.25,9.75,0.75,8.25
A,2.25,6.75,3.75,3.75,2.25,6.75,2.25,2.25,2.25,6.75,2.25,8.25,2.25,6.75,2.25,8.25
E,5.25,8.25,3.75,3.75,2.25,8.25,6.75,3.75,3.75,9.75,5.25,9.75,2.25,8.25,6.75,9.75
K,3.75,5.25,5.25,8.25,2.25,2.25,5.25,6.75,2.25,6.75,8.25,11.25,2.25,8.25,2.25,9.75
M,5.25,8.25,8.25,5.25,5.25,5.25,6.75,2.25,5.25,9.75,9.75,8.25,8.25,5.25,2.25,8.25
L,5.25,11.25,5.25,5.25,2.25,6.75,5.25,2.25,5.25,11.25,6.75,11.25,2.25,8.25,5.25,8.25
T,5.25,5.25,5.25,3.75,2.25,5.25,11.25,2.25,8.25,11.25,8.25,3.75,0.75,11.25,2.25,3.75
G,2.25,3.75,3.75,2.25,2.25,6.75,5.25,5.25,5.25,5.25,5.25,9.75,2.25,8.25,3.75,8.25
J,2.25,3.75,3.75,2.25,0.75,8.25,8.25,2.25,6.75,14.25,5.25,8.25,0.75,6.75,0.75,8.25
F,5.25,9.75,5.25,6.75,2.25,0.75,14.25,5.25,3.75,11.25,9.75,5.25,0.75,8.25,2.25,5.25
W,6.75,8.25,6.75,5.25,5.25,5.25,11.25,5.25,2.25,8.25,5.25,5.25,8.25,12.75,3.75,3.75
A,2.25,5.25,5.25,3.75,2.25,11.25,2.25,2.25,2.25,8.25,2.25,8.25,2.25,5.25,2.25,8.25
K,5.25,11.25,8.25,8.25,5.25,8.25,5.25,0.75,6.75,9.75,2.25,8.25,5.25,8.25,5.25,11.25
P,0.75,0.75,2.25,2.25,0.75,5.25,9.75,3.75,3.75,9.75,8.25,3.75,0.75,8.25,2.25,6.75
M,6.75,5.25,8.25,5.25,8.25,6.75,6.75,5.25,3.75,5.25,5.25,8.25,9.75,8.25,5.25,5.25
O,2.25,5.25,2.25,3.75,2.25,8.25,6.75,6.75,5.25,6.75,5.25,8.25,2.25,8.25,2.25,8.25
S,3.75,11.25,5.25,8.25,2.25,5.25,5.25,5.25,8.25,3.75,5.25,8.25,0.75,8.25,8.25,8.25
C,3.75,5.25,5.25,5.25,5.25,3.75,6.75,2.25,5.25,5.25,5.25,9.75,3.75,9.75,6.75,6.75
O,0.75,0.75,2.25,0.75,0.75,8.25,6.75,5.25,3.75,6.75,5.25,8.25,2.25,8.25,2.25,8.25
Z,2.25,0.75,2.25,2.25,0.75,6.75,6.75,5.25,8.25,5.25,5.25,8.25,0.75,8.25,6.75,8.25
X,3.75,8.25,5.25,6.75,5.25,8.25,6.75,2.25,5.25,6.75,3.75,5.25,5.25,5.25,8.25,8.25
W,3.75,3.75,5.25,2.25,2.25,5.25,11.25,5.25,2.25,8.25,6.75,5.25,5.25,11.25,2.25,5.25
B,3.75,8.25,3.75,5.25,5.25,5.25,5.25,8.25,5.25,5.25,5.25,6.75,2.25,8.25,6.75,8.25
C,5.25,11.25,5.25,8.25,3.75,3.75,8.25,5.25,5.25,11.25,9.75,11.25,2.25,9.75,2.25,6.75
F,2.25,3.75,2.25,2.25,2.25,5.25,9.75,2.25,5.25,9.75,8.25,5.25,0.75,9.75,2.25,5.25
I,0.75,3.75,0.75,5.25,0.75,6.75,6.75,3.75,3.75,6.75,5.25,8.25,0.75,8.25,0.75,8.25
B,0.75,2.25,2.25,2.25,0.75,8.25,6.75,2.25,5.25,9.75,5.25,6.75,2.25,8.25,2.25,8.25
P,2.25,3.75,5.25,2.25,2.25,8.25,8.25,2.25,5.25,12.75,3.75,2.25,0.75,9.75,2.25,8.25
K,11.25,14.25,9.75,8.25,3.75,5.25,8.25,2.25,6.75,8.25,8.25,9.75,5.25,8.25,3.75,5.25
U,3.75,5.25,5.25,3.75,2.25,5.25,8.25,5.25,8.25,9.75,8.25,8.25,2.25,8.25,2.25,5.25
N,2.25,8.25,3.75,5.25,2.25,6.75,6.75,14.25,2.25,5.25,5.25,8.25,5.25,8.25,0.75,8.25
Y,3.75,11.25,5.25,8.25,0.75,6.75,11.25,2.25,2.25,8.25,11.25,8.25,0.75,11.25,0.75,8.25
I,2.25,5.25,5.25,5.25,3.75,8.25,8.25,3.75,3.75,6.75,5.25,8.25,2.25,6.75,8.25,8.25
Q,8.25,14.25,6.75,8.25,3.75,8.25,5.25,3.75,8.25,11.25,3.75,9.75,2.25,5.25,8.25,8.25
Q,3.75,5.25,3.75,6.75,3.75,8.25,6.75,5.25,2.25,8.25,5.25,11.25,2.25,8.25,5.25,8.25
Z,0.75,0.75,0.75,0.75,0.75,8.25,6.75,2.25,8.25,8.25,5.25,8.25,0.75,8.25,5.25,8.25
F,3.75,5.25,5.25,5.25,5.25,6.75,8.25,5.25,3.75,8.25,5.25,6.75,3.75,8.25,8.25,6.75
M,8.25,9.75,11.25,8.25,8.25,8.25,5.25,2.25,5.25,8.25,5.25,6.75,8.25,5.25,2.25,8.25
D,3.75,6.75,5.25,5.25,2.25,5.25,6.75,9.75,8.25,6.75,5.25,5.25,2.25,8.25,3.75,8.25
N,2.25,2.25,2.25,0.75,0.75,8.25,8.25,2.25,3.75,9.75,3.75,5.25,3.75,8.25,0.75,6.75
W,5.25,9.75,8.25,8.25,5.25,2.25,9.75,2.25,2.25,8.25,9.75,8.25,8.25,11.25,0.75,8.25
U,3.75,8.25,3.75,5.25,3.75,6.75,5.25,12.75,5.25,6.75,9.75,8.25,2.25,8.25,0.75,8.25
G,5.25,11.25,8.25,8.25,5.25,5.25,5.25,6.75,5.25,5.25,5.25,11.25,5.25,6.75,5.25,5.25
G,6.75,11.25,8.25,8.25,11.25,8.25,5.25,3.75,2.25,5.25,5.25,9.75,8.25,6.75,8.25,12.75
O,5.25,9.75,3.75,5.25,2.25,6.75,6.75,5.25,3.75,6.75,3.75,6.75,5.25,8.25,5.25,8.25
U,2.25,5.25,2.25,3.75,0.75,8.25,5.25,12.75,5.25,6.75,12.75,8.25,2.25,8.25,0.75,8.25
K,5.25,9.75,8.25,8.25,8.25,5.25,6.75,5.25,2.25,6.75,5.25,8.25,5.25,6.75,9.75,8.25
W,3.75,8.25,5.25,5.25,2.25,3.75,8.25,5.25,0.75,6.75,8.25,8.25,8.25,9.75,0.75,8.25
K,5.25,6.75,6.75,5.25,5.25,5.25,6.75,2.25,5.25,9.75,8.25,11.25,2.25,8.25,2.25,8.25
E,5.25,11.25,3.75,5.25,2.25,8.25,5.25,3.75,5.25,9.75,5.25,8.25,0.75,9.75,6.75,8.25
V,2.25,5.25,5.25,3.75,0.75,8.25,8.25,3.75,2.25,5.25,14.25,8.25,2.25,9.75,0.75,8.25
R,8.25,11.25,8.25,6.75,5.25,8.25,5.25,2.25,5.25,8.25,3.75,8.25,5.25,8.25,5.25,8.25
Z,3.75,11.25,5.25,8.25,5.25,8.25,5.25,5.25,9.75,6.75,5.25,5.25,2.25,6.75,8.25,8.25
S,3.75,9.75,5.25,6.75,3.75,6.75,8.25,2.25,6.75,9.75,5.25,6.75,2.25,5.25,5.25,8.25
N,2.25,5.25,5.25,3.75,5.25,6.75,8.25,2.25,2.25,8.25,6.75,8.25,5.25,8.25,5.25,3.75
X,5.25,11.25,8.25,8.25,3.75,5.25,8.25,2.25,8.25,9.75,11.25,8.25,2.25,8.25,3.75,5.25
I,2.25,5.25,3.75,3.75,2.25,5.25,6.75,2.25,6.75,6.75,5.25,11.25,0.75,8.25,3.75,8.25
Q,0.75,2.25,2.25,2.25,0.75,8.25,6.75,3.75,0.75,6.75,8.25,9.75,2.25,8.25,2.25,8.25
N,9.75,14.25,8.25,8.25,3.75,6.75,8.25,3.75,5.25,2.25,5.25,9.75,5.25,9.75,2.25,6.75
C,5.25,6.75,5.25,5.25,2.25,5.25,6.75,5.25,8.25,11.25,8.25,11.25,2.25,9.75,3.75,6.75
Q,5.25,8.25,5.25,3.75,2.25,9.75,3.75,3.75,6.75,11.25,2.25,9.75,2.25,6.75,6.75,11.25
N,6.75,9.75,8.25,8.25,6.75,6.75,6.75,8.25,5.25,6.75,5.25,5.25,3.75,8.25,3.75,8.25
K,5.25,8.25,8.25,8.25,8.25,6.75,6.75,2.25,3.75,6.75,2.25,8.25,6.75,3.75,8.25,9.75
S,8.25,11.25,8.25,6.75,3.75,5.25,9.75,3.75,5.25,14.25,8.25,5.25,2.25,8.25,2.25,6.75
E,2.25,2.25,2.25,2.25,0.75,5.25,8.25,2.25,8.25,11.25,8.25,8.25,0.75,8.25,3.75,6.75
D,3.75,8.25,5.25,5.25,8.25,8.25,6.75,5.25,5.25,6.75,5.25,5.25,5.25,5.25,8.25,6.75
X,3.75,3.75,5.25,5.25,0.75,6.75,6.75,3.75,3.75,6.75,5.25,8.25,2.25,8.25,3.75,8.25
C,0.75,0.75,2.25,0.75,0.75,6.75,6.75,5.25,6.75,6.75,5.25,12.75,0.75,8.25,3.75,9.75
J,5.25,8.25,6.75,6.75,2.25,8.25,5.25,3.75,5.25,14.25,3.75,9.75,0.75,5.25,0.75,6.75
B,5.25,6.75,6.75,5.25,5.25,6.75,5.25,5.25,6.75,8.25,6.75,5.25,2.25,8.25,8.25,6.75
D,5.25,8.25,5.25,6.75,5.25,5.25,6.75,8.25,6.75,5.25,5.25,5.25,2.25,8.25,2.25,8.25
R,6.75,9.75,6.75,5.25,5.25,6.75,5.25,2.25,5.25,8.25,3.75,8.25,5.25,8.25,5.25,6.75
Z,2.25,0.75,2.25,0.75,0.75,6.75,6.75,2.25,11.25,8.25,5.25,8.25,0.75,8.25,5.25,8.25
T,2.25,2.25,3.75,3.75,0.75,8.25,14.25,0.75,5.25,5.25,11.25,8.25,0.75,8.25,0.75,8.25
K,5.25,8.25,5.25,6.75,2.25,3.75,6.75,8.25,2.25,6.75,5.25,11.25,2.25,8.25,2.25,11.25
G,5.25,11.25,6.75,8.25,5.25,6.75,5.25,6.75,8.25,6.75,3.75,11.25,2.25,8.25,5.25,8.25
B,11.25,14.25,9.75,8.25,8.25,8.25,8.25,2.25,5.25,9.75,3.75,5.25,8.25,2.25,8.25,6.75
X,8.25,11.25,11.25,8.25,6.75,5.25,8.25,0.75,8.25,9.75,8.25,8.25,2.25,8.25,3.75,5.25
D,5.25,8.25,8.25,6.75,5.25,9.75,5.25,2.25,6.75,11.25,3.75,6.75,3.75,6.75,3.75,8.25
V,2.25,5.25,3.75,3.75,0.75,5.25,11.25,2.25,3.75,8.25,11.25,8.25,2.25,9.75,0.75,8.25
I,2.25,11.25,0.75,8.25,0.75,6.75,6.75,5.25,2.25,6.75,5.25,8.25,0.75,8.25,0.75,8.25
Z,2.25,5.25,3.75,3.75,2.25,6.75,8.25,2.25,9.75,11.25,5.25,8.25,0.75,8.25,5.25,6.75
G,2.25,2.25,2.25,2.25,0.75,6.75,5.25,5.25,3.75,5.25,5.25,8.25,2.25,8.25,3.75,8.25
J,2.25,5.25,3.75,8.25,0.75,12.75,2.25,8.25,5.25,14.25,2.25,11.25,0.75,5.25,0.75,8.25
V,2.25,5.25,3.75,3.75,2.25,6.75,11.25,2.25,2.25,6.75,11.25,8.25,2.25,9.75,0.75,8.25
V,8.25,14.25,8.25,8.25,5.25,5.25,8.25,5.25,3.75,8.25,6.75,5.25,5.25,11.25,2.25,8.25
J,5.25,11.25,5.25,8.25,3.75,9.75,6.75,2.25,3.75,11.25,3.75,5.25,2.25,8.25,6.75,8.25
C,2.25,5.25,3.75,3.75,0.75,5.25,6.75,5.25,9.75,6.75,5.25,12.75,0.75,8.25,3.75,8.25
U,2.25,2.25,2.25,0.75,0.75,3.75,8.25,5.25,5.25,11.25,9.75,8.25,2.25,9.75,0.75,5.25
A,2.25,5.25,3.75,3.75,2.25,11.25,2.25,3.75,2.25,11.25,2.25,9.75,2.25,5.25,2.25,8.25
Y,2.25,9.75,5.25,6.75,0.75,9.75,9.75,2.25,2.25,5.25,12.75,8.25,2.25,11.25,0.75,8.25
T,2.25,6.75,5.25,5.25,2.25,6.75,11.25,0.75,8.25,6.75,11.25,8.25,0.75,9.75,0.75,8.25
M,5.25,8.25,6.75,5.25,5.25,8.25,6.75,2.25,3.75,8.25,5.25,6.75,6.75,5.25,2.25,8.25
